date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24
09/16/2023,0,0,0,0,0,0,11,5,4,8,6,4,2,5,1,8,11,5,0,0,0,0,0,3
09/23/2023,5,12,1,11,7,2,180,187,99,362,293,72,311,163,24,519,203,113,2,3,26,4,13,10
09/30/2023,3,5,2,19,10,3,198,235,88,424,364,89,445,255,36,625,251,119,4,22,27,2,18,27
10/07/2023,20,14,15,46,19,8,403,385,124,846,580,187,675,389,45,1242,347,193,8,41,50,4,70,44
10/14/2023,28,29,19,81,50,7,471,425,105,997,511,162,727,400,42,1351,313,161,10,98,217,36,123,98
10/21/2023,37,55,24,110,43,8,378,499,115,980,483,160,623,511,39,1212,317,202,18,160,214,51,149,168
10/28/2023,28,43,19,86,48,16,339,464,88,809,438,126,548,411,52,1090,287,152,32,199,273,60,153,267
11/04/2023,22,53,19,91,49,28,329,391,70,765,431,147,522,391,22,956,259,126,26,168,239,33,149,225
11/11/2023,36,62,21,110,60,10,337,396,87,769,414,148,575,425,39,966,199,149,26,197,255,52,142,275
11/18/2023,40,65,14,102,55,14,340,431,97,875,392,118,513,417,28,1041,231,141,26,212,242,50,153,191
11/25/2023,49,38,14,61,30,7,241,266,55,500,258,83,291,198,22,524,133,76,13,137,162,26,111,237
12/02/2023,31,56,16,91,54,10,302,360,88,682,294,108,415,311,45,699,179,109,11,185,222,33,114,226
12/09/2023,38,52,16,72,44,12,278,377,69,561,244,118,375,324,29,644,173,114,15,241,218,33,105,214
12/16/2023,33,29,7,72,39,11,267,332,56,542,244,105,401,265,21,687,150,100,21,195,227,37,163,205
12/23/2023,29,45,18,87,50,16,257,347,47,577,259,109,312,225,7,533,128,91,19,174,160,37,115,211
12/30/2023,30,22,4,53,24,4,172,201,26,353,174,64,182,149,5,317,80,41,13,133,150,19,68,134
01/06/2024,31,47,1,54,29,16,183,231,44,396,152,72,187,150,12,343,56,71,15,171,177,18,82,169
01/13/2024,20,51,7,50,17,7,177,254,34,404,193,61,185,152,10,322,73,59,12,171,167,36,129,152
01/20/2024,28,23,5,31,16,4,134,163,21,287,120,64,130,107,3,211,47,35,11,123,119,16,86,129
01/27/2024,12,29,8,42,26,8,158,198,31,304,124,57,136,143,7,253,53,52,6,148,151,29,88,136
02/03/2024,15,30,6,47,15,8,116,169,21,276,110,67,136,115,8,254,51,40,6,132,135,17,87,109
02/10/2024,12,28,6,39,29,6,137,211,16,263,146,46,137,106,13,211,65,53,7,118,124,21,68,120
02/17/2024,12,18,7,31,24,3,97,178,17,216,73,39,106,75,8,199,37,21,6,118,109,16,51,128
02/24/2024,14,16,6,40,21,13,77,132,17,182,65,41,92,75,5,128,45,14,9,103,89,15,47,104
03/02/2024,21,25,2,38,30,8,72,104,12,179,45,30,96,69,8,137,20,23,5,93,81,12,47,76
03/09/2024,17,23,7,25,19,4,71,97,11,175,83,27,101,56,0,163,47,28,6,88,83,22,43,89
03/16/2024,10,31,4,27,14,6,64,98,8,167,66,29,94,71,3,135,26,21,8,105,105,20,57,88
03/23/2024,9,22,7,27,13,2,59,95,9,159,54,45,89,61,0,112,16,32,5,70,87,14,49,89
03/30/2024,21,24,9,25,9,10,55,84,12,145,51,31,53,62,3,106,21,15,1,62,53,7,33,71
04/06/2024,6,21,2,18,13,7,46,87,4,105,52,20,49,45,5,61,14,17,6,91,32,15,21,60
04/13/2024,10,16,1,24,21,8,59,84,8,103,53,19,45,37,3,93,15,20,2,80,50,15,24,58
04/20/2024,6,16,2,15,11,3,37,47,11,100,27,17,52,41,1,102,13,11,2,61,36,11,58,56
04/27/2024,4,13,3,34,16,5,44,59,12,100,39,18,42,35,1,118,22,9,7,69,42,10,42,41
05/04/2024,7,16,8,25,9,2,33,40,7,87,38,23,30,23,10,65,12,6,1,69,43,7,44,41
05/11/2024,5,15,2,15,13,1,23,43,5,72,27,13,27,20,7,46,10,9,4,30,57,13,49,34
05/18/2024,11,8,2,8,8,2,27,63,7,70,17,18,24,32,3,56,11,14,6,48,21,4,40,41
05/25/2024,6,17,1,15,8,2,33,29,3,59,39,7,20,18,3,39,24,6,3,27,36,7,44,35
06/01/2024,3,7,1,11,8,0,17,17,1,43,14,4,27,14,0,31,3,9,2,30,22,9,35,20
06/08/2024,5,2,0,8,10,1,25,33,8,66,21,8,19,19,10,45,6,8,2,21,23,43,29,5
06/15/2024,9,8,0,22,8,0,25,38,2,65,21,9,30,18,0,27,7,6,3,44,24,9,15,18
06/22/2024,6,5,1,10,5,1,22,35,3,40,23,9,23,11,0,22,4,12,1,26,17,7,47,17
06/29/2024,6,1,0,19,4,0,18,23,6,49,13,9,17,17,2,34,5,3,2,34,22,5,20,8
07/06/2024,3,4,0,11,1,1,20,20,3,33,14,5,4,8,0,18,4,4,0,11,2,4,38,13
07/13/2024,3,16,3,13,3,0,33,25,4,38,15,7,18,9,0,35,1,4,0,16,20,2,22,21
07/20/2024,0,11,0,15,6,0,20,28,6,43,25,8,17,19,9,29,6,7,1,21,22,3,32,13
07/27/2024,5,14,2,15,1,5,15,34,4,33,17,8,16,12,2,22,5,5,0,17,20,5,32,26
08/03/2024,4,8,1,9,3,2,11,21,7,33,11,8,7,5,0,22,2,0,2,27,18,7,35,22
08/10/2024,2,10,1,13,3,3,9,13,2,34,11,2,3,3,0,9,4,0,2,27,23,5,14,26
08/17/2024,3,13,1,18,4,0,16,13,3,31,15,3,2,4,0,4,3,0,0,27,12,4,33,17
08/24/2024,0,5,0,2,6,1,7,10,1,17,2,3,3,4,0,6,2,0,0,34,5,6,28,7
08/31/2024,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,17,0
